Campaign	Labels	Budget	Budget type	Standard conversion goals	Campaign Type	Networks	Languages	Bid Strategy Type	Bid Strategy Name	Enhanced CPC	Maximum CPC bid limit	Start Date	End Date	Ad Schedule	Ad rotation	Targeting method	Exclusion method	Flexible Reach	Ad Group	Max CPC	Max CPM	Target CPA	Max CPV	Percent CPC	Target CPM	Target ROAS	Desktop Bid Modifier	Mobile Bid Modifier	Tablet Bid Modifier	TV Screen Bid Modifier	Top Content Bid Modifier	Display Network Custom Bid Type	Targeting expansion	Ad Group Type	Audience targeting	Audience name	Tracking template	Final URL suffix	Custom parameters	ID	Location	Reach	Feed	Radius	Unit	Bid Modifier	Keyword	Criterion Type	First page bid	Top of page bid	First position bid	Quality score	Landing page experience	Expected CTR	Ad relevance	Final URL	Final mobile URL	Device Preference	Phone Number	Country of Phone	Call Reporting	Conversion Action	Feed Name	Platform Targeting	Ad type	Headline 1	Headline 1 position	Headline 2	Headline 2 position	Headline 3	Headline 3 position	Headline 4	Headline 4 position	Headline 5	Headline 5 position	Headline 6	Headline 6 position	Headline 7	Headline 7 position	Headline 8	Headline 8 position	Headline 9	Headline 9 position	Headline 10	Headline 10 position	Headline 11	Headline 11 position	Headline 12	Headline 12 position	Headline 13	Headline 13 position	Headline 14	Headline 14 position	Headline 15	Headline 15 position	Description 1	Description 1 position	Description 2	Description 2 position	Description 3	Description 3 position	Description 4	Description 4 position	Path 1	Path 2	Link Text	Description Line 1	Description Line 2	Upgraded extension	Header	Snippet Values	Callout text	Conversion category	Conversion source	Primary actions	Secondary actions	Account goal	Campaign Status	Ad Group Status	Status	Approval Status	Comment
removal|lifting|lift concrete schaumburg illinois																			removal|lifting|lift																												concrete lifting cost	Phrase	0	0	0																																																																			Paused	Enabled	Enabled	Approved	
removal|lifting|lift concrete schaumburg illinois																			removal|lifting|lift																												concrete lifting cost	Exact	0	0	0																																																																			Paused	Enabled	Enabled	Approved	
removal|lifting|lift concrete schaumburg illinois																			removal|lifting|lift																												concrete lifting near me	Phrase	0	0	0																																																																			Paused	Enabled	Enabled	Approved	
removal|lifting|lift concrete schaumburg illinois																			removal|lifting|lift																												concrete lifting near me	Exact	0	0	0																																																																			Paused	Enabled	Enabled	Approved	
removal|lifting|lift concrete schaumburg illinois																			removal|lifting|lift																												concrete removal cost	Phrase	0	0	0																																																																			Paused	Enabled	Enabled	Approved	
removal|lifting|lift concrete schaumburg illinois																			removal|lifting|lift																												concrete removal cost	Exact	0	0	0																																																																			Paused	Enabled	Enabled	Approved	
removal|lifting|lift concrete schaumburg illinois																			removal|lifting|lift																												concrete removal near me	Phrase	0	0	0																																																																			Paused	Enabled	Enabled	Approved	
removal|lifting|lift concrete schaumburg illinois																			removal|lifting|lift																												concrete removal near me	Exact	0	0	0																																																																			Paused	Enabled	Enabled	Approved	
removal|lifting|lift concrete schaumburg illinois																			removal|lifting|lift																																					https://www.concreteschaumburg.com/concrete/lifting-nearby									Responsive search ad	Lifting Companies Near You	 -	Lifting Cost	 -	Lifting Near You	 -	Removal Cost	 -	Removal Near You	 -	Concrete Removal	 -	#1 Concrete Removal	 -	Removal Pros Schaumburg	 -	Meet Your Concrete Partner	 -	Stop Concrete Mishaps	 -	Smooth Sailing For Concrete	 -	Carefree Concrete Today	 -	Get Your Concrete Quote Today	 -	Conquer Your Concrete Woes	 -	Your Local Concrete Partner	 -	Fully Insured. Friendly Service. Based in Schaumburg, IL. Neat concrete. Call Now.	 -	Free Estimate. Top Concrete Company. Appointments Fill Fast. Book A Slot Today.	 -	Concreting For Schaumburg Homes. Five Star Reviews. Book Your Appointment Today.	 -	Friendliest Concrete Company Schaumburg. Fully Insured. Call Us.	 -	concrete	lifting-nearby													Paused	Enabled	Enabled	Under review	
removal|lifting|lift concrete schaumburg illinois																																								1016834	Schaumburg, Illinois, United States																																																																													Paused		Enabled		
removal|lifting|lift concrete schaumburg illinois												[]	[]	[]																																												Mobile	2244772663	US	Enabled	Calls from ads	Main call feed	All																																																										
removal|lifting|lift concrete schaumburg illinois												[]	[]	[]																																										https://www.concreteschaumburg.com/concrete-company/nearby																																																		Serving Schaumburg	Schaumburg's #1 Concrete Company	Also serving Streamwood and Barlett	[]													
removal|lifting|lift concrete schaumburg illinois												[]	[]	[]																																										https://www.concreteschaumburg.com/concrete/restoration																																																		Call For Instant Quote	Get An Instant Price Today	All Work Guaranteed	[]													
removal|lifting|lift concrete schaumburg illinois												[]	[]	[]																																										https://www.concreteschaumburg.com/best-concrete/company																																																		5 Star Customer Reviews	Fabulous Five Star Reviews	Excellent Customer Service	[]													
removal|lifting|lift concrete schaumburg illinois												[]	[]	[]																																										https://www.concreteschaumburg.com/experienced/concrete-company																																																		10 Years Experience	Many Years Of Happy Customers	Fully Trained Concrete Techs	[]													
removal|lifting|lift concrete schaumburg illinois																																																																																																													[]	Neighborhoods	"Roselle
Barlett
Schnells Corner
Streamwood
South Barrington
Medinah
Arlington Heights
Rolling Meadows"											
removal|lifting|lift concrete schaumburg illinois																																																																																																													[]	Service catalog	"Stamped Concrete
Concrete Resurfacing
Concrete Slab Removal
Concrete Installation
Concrete Sealing
Concrete Staining
Decorative Concrete
Precast Concrete
Concrete Coating
Concrete Edging"											
removal|lifting|lift concrete schaumburg illinois																																																																																																													[]			Call Today										
removal|lifting|lift concrete schaumburg illinois																																																																																																													[]			Fully Insured And Bonded										
removal|lifting|lift concrete schaumburg illinois																																																																																																													[]			Highly Recommended										
removal|lifting|lift concrete schaumburg illinois																																																																																																													[]			Professional Results										
restoration|resurfacing|repair concrete schaumburg illinois		33	Daily	Account-level	Search	Google search	en	Maximize conversions		Disabled	16.12	2022-07-24	[]	(Monday[09:00-17:00]);(Tuesday[09:00-17:00]);(Wednesday[09:00-17:00]);(Thursday[09:00-17:00]);(Friday[09:00-17:00])	Optimize for clicks	Location of presence	Location of presence	Audience segments				16.12																																																																																																Paused				
restoration|resurfacing|repair concrete schaumburg illinois																		Audience segments;Genders;Ages;Parental status;Household incomes	restoration|resurfacing|repair || slab	0.01	0.01				0.01							None	Disabled	Standard	Audience segments																																																																																			Paused	Enabled			
restoration|resurfacing|repair concrete schaumburg illinois																			restoration|resurfacing|repair || slab																												concrete slab repair near me	Phrase	0	0	0																																																																			Paused	Enabled	Enabled	Approved	
restoration|resurfacing|repair concrete schaumburg illinois																			restoration|resurfacing|repair || slab																												concrete slab repair near me	Exact	0	0	0																																																																			Paused	Enabled	Enabled	Approved	
restoration|resurfacing|repair concrete schaumburg illinois																			restoration|resurfacing|repair || slab																																					https://www.concreteschaumburg.com/concrete-slab/repair-nearby									Responsive search ad	Slab Repair Near You	 -	Concrete Restoration	 -	#1 Concrete Restoration	 -	Restoration Pros Schaumburg	 -	Concrete Repair	 -	#1 Concrete Repair	 -	Repair Pros Schaumburg	 -	Meet Your Concrete Partner	 -	Stop Concrete Mishaps	 -	Smooth Sailing For Concrete	 -	Carefree Concrete Today	 -	Get Your Concrete Quote Today	 -	Conquer Your Concrete Woes	 -	Your Local Concrete Partner	 -	Reliable & Friendly	 -	Fully Insured. Friendly Service. Based in Schaumburg, IL. Neat concrete. Call Now.	 -	Free Estimate. Top Concrete Company. Appointments Fill Fast. Book A Slot Today.	 -	Concreting For Schaumburg Homes. Five Star Reviews. Book Your Appointment Today.	 -	Friendliest Concrete Company Schaumburg. Fully Insured. Call Us.	 -	concrete-slab	repair-nearby													Paused	Enabled	Enabled	Under review	
restoration|resurfacing|repair concrete schaumburg illinois																		Audience segments;Genders;Ages;Parental status;Household incomes	restoration|resurfacing|repair	0.01	0.01				0.01							None	Disabled	Standard	Audience segments																																																																																			Paused	Enabled			
restoration|resurfacing|repair concrete schaumburg illinois																			restoration|resurfacing|repair																												concrete resurfacing cost	Phrase	0	0	0																																																																			Paused	Enabled	Enabled	Approved	
restoration|resurfacing|repair concrete schaumburg illinois																			restoration|resurfacing|repair																												concrete resurfacing cost	Exact	0	0	0																																																																			Paused	Enabled	Enabled	Approved	
restoration|resurfacing|repair concrete schaumburg illinois																			restoration|resurfacing|repair																												concrete resurfacing near me	Phrase	0	0	0																																																																			Paused	Enabled	Enabled	Approved	
restoration|resurfacing|repair concrete schaumburg illinois																			restoration|resurfacing|repair																												concrete resurfacing near me	Exact	0	0	0																																																																			Paused	Enabled	Enabled	Approved	
restoration|resurfacing|repair concrete schaumburg illinois																			restoration|resurfacing|repair																																					https://www.concreteschaumburg.com/concrete/resurfacing									Responsive search ad	Resurfacing Cost	 -	Resurfacing Near You	 -	Concrete Restoration	 -	#1 Concrete Restoration	 -	Restoration Pros Schaumburg	 -	Concrete Resurfacing	 -	#1 Concrete Resurfacing	 -	Resurfacing Pros Schaumburg	 -	Meet Your Concrete Partner	 -	Stop Concrete Mishaps	 -	Smooth Sailing For Concrete	 -	Carefree Concrete Today	 -	Get Your Concrete Quote Today	 -	Conquer Your Concrete Woes	 -	Your Local Concrete Partner	 -	Fully Insured. Friendly Service. Based in Schaumburg, IL. Neat concrete. Call Now.	 -	Free Estimate. Top Concrete Company. Appointments Fill Fast. Book A Slot Today.	 -	Concreting For Schaumburg Homes. Five Star Reviews. Book Your Appointment Today.	 -	Friendliest Concrete Company Schaumburg. Fully Insured. Call Us.	 -	concrete	resurfacing													Paused	Enabled	Enabled	Under review	
restoration|resurfacing|repair concrete schaumburg illinois																																								1016834	Schaumburg, Illinois, United States																																																																													Paused		Enabled		
restoration|resurfacing|repair concrete schaumburg illinois												[]	[]	[]																																												Mobile	2244772663	US	Enabled	Calls from ads	Main call feed	All																																																										
restoration|resurfacing|repair concrete schaumburg illinois												[]	[]	[]																																										https://www.concreteschaumburg.com/concrete-company/nearby																																																		Serving Schaumburg	Schaumburg's #1 Concrete Company	Also serving Streamwood and Barlett	[]													
restoration|resurfacing|repair concrete schaumburg illinois												[]	[]	[]																																										https://www.concreteschaumburg.com/concrete/restoration																																																		Call For Instant Quote	Get An Instant Price Today	All Work Guaranteed	[]													
restoration|resurfacing|repair concrete schaumburg illinois												[]	[]	[]																																										https://www.concreteschaumburg.com/best-concrete/company																																																		5 Star Customer Reviews	Fabulous Five Star Reviews	Excellent Customer Service	[]													
restoration|resurfacing|repair concrete schaumburg illinois												[]	[]	[]																																										https://www.concreteschaumburg.com/experienced/concrete-company																																																		10 Years Experience	Many Years Of Happy Customers	Fully Trained Concrete Techs	[]													
restoration|resurfacing|repair concrete schaumburg illinois																																																																																																													[]	Neighborhoods	"Roselle
Barlett
Schnells Corner
Streamwood
South Barrington
Medinah
Arlington Heights
Rolling Meadows"											
restoration|resurfacing|repair concrete schaumburg illinois																																																																																																													[]	Service catalog	"Stamped Concrete
Concrete Resurfacing
Concrete Slab Removal
Concrete Installation
Concrete Sealing
Concrete Staining
Decorative Concrete
Precast Concrete
Concrete Coating
Concrete Edging"											
restoration|resurfacing|repair concrete schaumburg illinois																																																																																																													[]			Call Today										
restoration|resurfacing|repair concrete schaumburg illinois																																																																																																													[]			Fully Insured And Bonded										
restoration|resurfacing|repair concrete schaumburg illinois																																																																																																													[]			Highly Recommended										
restoration|resurfacing|repair concrete schaumburg illinois																																																																																																													[]			Professional Results										
sealer|sealed|sealing|seal concrete schaumburg illinois		33	Daily	Account-level	Search	Google search	en	Maximize conversions		Disabled	16.12	2022-07-24	[]	(Monday[09:00-17:00]);(Tuesday[09:00-17:00]);(Wednesday[09:00-17:00]);(Thursday[09:00-17:00]);(Friday[09:00-17:00])	Optimize for clicks	Location of presence	Location of presence	Audience segments				16.12																																																																																																Paused				
sealer|sealed|sealing|seal concrete schaumburg illinois																		Audience segments;Genders;Ages;Parental status;Household incomes	sealer|sealed|sealing|seal	0.01	0.01				0.01							None	Disabled	Standard	Audience segments																																																																																			Paused	Enabled			
sealer|sealed|sealing|seal concrete schaumburg illinois																			sealer|sealed|sealing|seal																												concrete sealing near me	Phrase	0	0	0																																																																			Paused	Enabled	Enabled	Approved	
sealer|sealed|sealing|seal concrete schaumburg illinois																			sealer|sealed|sealing|seal																												concrete sealing near me	Exact	0	0	0																																																																			Paused	Enabled	Enabled	Approved	
sealer|sealed|sealing|seal concrete schaumburg illinois																			sealer|sealed|sealing|seal																																					https://www.concreteschaumburg.com/concrete/sealing-nearby									Responsive search ad	Sealing Near You	 -	Concrete Sealer	 -	#1 Concrete Sealer	 -	Sealer Pros Schaumburg	 -	Concrete Sealing	 -	#1 Concrete Sealing	 -	Sealing Pros Schaumburg	 -	Meet Your Concrete Partner	 -	Stop Concrete Mishaps	 -	Smooth Sailing For Concrete	 -	Carefree Concrete Today	 -	Get Your Concrete Quote Today	 -	Conquer Your Concrete Woes	 -	Your Local Concrete Partner	 -	Reliable & Friendly	 -	Fully Insured. Friendly Service. Based in Schaumburg, IL. Neat concrete. Call Now.	 -	Free Estimate. Top Concrete Company. Appointments Fill Fast. Book A Slot Today.	 -	Concreting For Schaumburg Homes. Five Star Reviews. Book Your Appointment Today.	 -	Friendliest Concrete Company Schaumburg. Fully Insured. Call Us.	 -	concrete	sealing-nearby													Paused	Enabled	Enabled	Under review	
sealer|sealed|sealing|seal concrete schaumburg illinois																																								1016834	Schaumburg, Illinois, United States																																																																													Paused		Enabled		
sealer|sealed|sealing|seal concrete schaumburg illinois												[]	[]	[]																																												Mobile	2244772663	US	Enabled	Calls from ads	Main call feed	All																																																										
sealer|sealed|sealing|seal concrete schaumburg illinois												[]	[]	[]																																										https://www.concreteschaumburg.com/concrete-company/nearby																																																		Serving Schaumburg	Schaumburg's #1 Concrete Company	Also serving Streamwood and Barlett	[]													
sealer|sealed|sealing|seal concrete schaumburg illinois												[]	[]	[]																																										https://www.concreteschaumburg.com/concrete/restoration																																																		Call For Instant Quote	Get An Instant Price Today	All Work Guaranteed	[]													
sealer|sealed|sealing|seal concrete schaumburg illinois												[]	[]	[]																																										https://www.concreteschaumburg.com/best-concrete/company																																																		5 Star Customer Reviews	Fabulous Five Star Reviews	Excellent Customer Service	[]													
sealer|sealed|sealing|seal concrete schaumburg illinois												[]	[]	[]																																										https://www.concreteschaumburg.com/experienced/concrete-company																																																		10 Years Experience	Many Years Of Happy Customers	Fully Trained Concrete Techs	[]													
sealer|sealed|sealing|seal concrete schaumburg illinois																																																																																																													[]	Neighborhoods	"Roselle
Barlett
Schnells Corner
Streamwood
South Barrington
Medinah
Arlington Heights
Rolling Meadows"											
sealer|sealed|sealing|seal concrete schaumburg illinois																																																																																																													[]	Service catalog	"Stamped Concrete
Concrete Resurfacing
Concrete Slab Removal
Concrete Installation
Concrete Sealing
Concrete Staining
Decorative Concrete
Precast Concrete
Concrete Coating
Concrete Edging"											
sealer|sealed|sealing|seal concrete schaumburg illinois																																																																																																													[]			Call Today										
sealer|sealed|sealing|seal concrete schaumburg illinois																																																																																																													[]			Fully Insured And Bonded										
sealer|sealed|sealing|seal concrete schaumburg illinois																																																																																																													[]			Highly Recommended										
sealer|sealed|sealing|seal concrete schaumburg illinois																																																																																																													[]			Professional Results										
sidewalk concrete schaumburg illinois		33	Daily	Account-level	Search	Google search	en	Maximize conversions		Disabled	16.12	2022-07-24	[]	(Monday[09:00-17:00]);(Tuesday[09:00-17:00]);(Wednesday[09:00-17:00]);(Thursday[09:00-17:00]);(Friday[09:00-17:00])	Optimize for clicks	Location of presence	Location of presence	Audience segments				16.12																																																																																																Paused				
sidewalk concrete schaumburg illinois																		Audience segments;Genders;Ages;Parental status;Household incomes	sidewalk	0.01	0.01				0.01							None	Disabled	Standard	Audience segments																																																																																			Paused	Enabled			
sidewalk concrete schaumburg illinois																			sidewalk																												concrete sidewalk contractors near me	Phrase	0	0	0																																																																			Paused	Enabled	Enabled	Approved	
sidewalk concrete schaumburg illinois																			sidewalk																												concrete sidewalk contractors near me	Exact	0	0	0																																																																			Paused	Enabled	Enabled	Approved	
sidewalk concrete schaumburg illinois																			sidewalk																																					https://www.concreteschaumburg.com/concrete/sidewalk-nearby									Responsive search ad	Sidewalk Contractor Near You	 -	Love Your Sidewalk Again	 -	Revive Your Sidewalk Today	 -	#1 Sidewalk Concrete	 -	Sidewalk Concrete Schaumburg	 -	Meet Your Concrete Partner	 -	Stop Concrete Mishaps	 -	Smooth Sailing For Concrete	 -	Carefree Concrete Today	 -	Get Your Concrete Quote Today	 -	Conquer Your Concrete Woes	 -	Your Local Concrete Partner	 -	Reliable & Friendly	 -	Personalised Estimates	 -	Attention To Concrete Detail	 -	Fully Insured. Friendly Service. Based in Schaumburg, IL. Neat concrete. Call Now.	 -	Free Estimate. Top Concrete Company. Appointments Fill Fast. Book A Slot Today.	 -	Concreting For Schaumburg Homes. Five Star Reviews. Book Your Appointment Today.	 -	Friendliest Concrete Company Schaumburg. Fully Insured. Call Us.	 -	concrete	sidewalk-nearby													Paused	Enabled	Enabled	Under review	
sidewalk concrete schaumburg illinois																																								1016834	Schaumburg, Illinois, United States																																																																													Paused		Enabled		
sidewalk concrete schaumburg illinois												[]	[]	[]																																												Mobile	2244772663	US	Enabled	Calls from ads	Main call feed	All																																																										
sidewalk concrete schaumburg illinois												[]	[]	[]																																										https://www.concreteschaumburg.com/concrete-company/nearby																																																		Serving Schaumburg	Schaumburg's #1 Concrete Company	Also serving Streamwood and Barlett	[]													
sidewalk concrete schaumburg illinois												[]	[]	[]																																										https://www.concreteschaumburg.com/concrete/restoration																																																		Call For Instant Quote	Get An Instant Price Today	All Work Guaranteed	[]													
sidewalk concrete schaumburg illinois												[]	[]	[]																																										https://www.concreteschaumburg.com/best-concrete/company																																																		5 Star Customer Reviews	Fabulous Five Star Reviews	Excellent Customer Service	[]													
sidewalk concrete schaumburg illinois												[]	[]	[]																																										https://www.concreteschaumburg.com/experienced/concrete-company																																																		10 Years Experience	Many Years Of Happy Customers	Fully Trained Concrete Techs	[]													
sidewalk concrete schaumburg illinois																																																																																																													[]	Neighborhoods	"Roselle
Barlett
Schnells Corner
Streamwood
South Barrington
Medinah
Arlington Heights
Rolling Meadows"											
sidewalk concrete schaumburg illinois																																																																																																													[]	Service catalog	"Stamped Concrete
Concrete Resurfacing
Concrete Slab Removal
Concrete Installation
Concrete Sealing
Concrete Staining
Decorative Concrete
Precast Concrete
Concrete Coating
Concrete Edging"											
sidewalk concrete schaumburg illinois																																																																																																													[]			Call Today										
sidewalk concrete schaumburg illinois																																																																																																													[]			Fully Insured And Bonded										
sidewalk concrete schaumburg illinois																																																																																																													[]			Highly Recommended										
sidewalk concrete schaumburg illinois																																																																																																													[]			Professional Results										
slab concrete schaumburg illinois		33	Daily	Account-level	Search	Google search	en	Maximize conversions		Disabled	16.12	2022-07-24	[]	(Monday[09:00-17:00]);(Tuesday[09:00-17:00]);(Wednesday[09:00-17:00]);(Thursday[09:00-17:00]);(Friday[09:00-17:00])	Optimize for clicks	Location of presence	Location of presence	Audience segments				16.12																																																																																																Paused				
slab concrete schaumburg illinois																		Audience segments;Genders;Ages;Parental status;Household incomes	slab	0.01	0.01				0.01							None	Disabled	Standard	Audience segments																																																																																			Paused	Enabled			
slab concrete schaumburg illinois																			slab																												concrete slab cost	Phrase	0	0	0																																																																			Paused	Enabled	Enabled	Approved	
slab concrete schaumburg illinois																			slab																												concrete slab cost	Exact	0	0	0																																																																			Paused	Enabled	Enabled	Approved	
slab concrete schaumburg illinois																			slab																												shed slab cost	Phrase	0	0	0																																																																			Paused	Enabled	Enabled	Approved	
slab concrete schaumburg illinois																			slab																												shed slab cost	Exact	0	0	0																																																																			Paused	Enabled	Enabled	Approved	
slab concrete schaumburg illinois																			slab																																					https://www.concreteschaumburg.com/concrete-slab/cost									Responsive search ad	Slab Cost	 -	Shed Slab Cost	 -	Meet Your Concrete Partner	 -	Stop Concrete Mishaps	 -	Smooth Sailing For Concrete	 -	Carefree Concrete Today	 -	Get Your Concrete Quote Today	 -	Conquer Your Concrete Woes	 -	Your Local Concrete Partner	 -	Reliable & Friendly	 -	Personalised Estimates	 -	Attention To Concrete Detail	 -	Right First Time Every Time	 -	52 Five Star Reviews	 -		 -	Fully Insured. Friendly Service. Based in Schaumburg, IL. Neat concrete. Call Now.	 -	Free Estimate. Top Concrete Company. Appointments Fill Fast. Book A Slot Today.	 -	Concreting For Schaumburg Homes. Five Star Reviews. Book Your Appointment Today.	 -	Friendliest Concrete Company Schaumburg. Fully Insured. Call Us.	 -	concrete-slab	cost													Paused	Enabled	Enabled	Under review	
slab concrete schaumburg illinois																																								1016834	Schaumburg, Illinois, United States																																																																													Paused		Enabled		
slab concrete schaumburg illinois												[]	[]	[]																																												Mobile	2244772663	US	Enabled	Calls from ads	Main call feed	All																																																										
slab concrete schaumburg illinois												[]	[]	[]																																										https://www.concreteschaumburg.com/concrete-company/nearby																																																		Serving Schaumburg	Schaumburg's #1 Concrete Company	Also serving Streamwood and Barlett	[]													
slab concrete schaumburg illinois												[]	[]	[]																																										https://www.concreteschaumburg.com/concrete/restoration																																																		Call For Instant Quote	Get An Instant Price Today	All Work Guaranteed	[]													
slab concrete schaumburg illinois												[]	[]	[]																																										https://www.concreteschaumburg.com/best-concrete/company																																																		5 Star Customer Reviews	Fabulous Five Star Reviews	Excellent Customer Service	[]													
slab concrete schaumburg illinois												[]	[]	[]																																										https://www.concreteschaumburg.com/experienced/concrete-company																																																		10 Years Experience	Many Years Of Happy Customers	Fully Trained Concrete Techs	[]													
slab concrete schaumburg illinois																																																																																																													[]	Neighborhoods	"Roselle
Barlett
Schnells Corner
Streamwood
South Barrington
Medinah
Arlington Heights
Rolling Meadows"											
slab concrete schaumburg illinois																																																																																																													[]	Service catalog	"Stamped Concrete
Concrete Resurfacing
Concrete Slab Removal
Concrete Installation
Concrete Sealing
Concrete Staining
Decorative Concrete
Precast Concrete
Concrete Coating
Concrete Edging"											
slab concrete schaumburg illinois																																																																																																													[]			Call Today										
slab concrete schaumburg illinois																																																																																																													[]			Fully Insured And Bonded										
slab concrete schaumburg illinois																																																																																																													[]			Highly Recommended										
slab concrete schaumburg illinois																																																																																																													[]			Professional Results										
stair|step concrete schaumburg illinois		33	Daily	Account-level	Search	Google search	en	Maximize conversions		Disabled	16.12	2022-07-24	[]	(Monday[09:00-17:00]);(Tuesday[09:00-17:00]);(Wednesday[09:00-17:00]);(Thursday[09:00-17:00]);(Friday[09:00-17:00])	Optimize for clicks	Location of presence	Location of presence	Audience segments				16.12																																																																																																Paused				
stair|step concrete schaumburg illinois																		Audience segments;Genders;Ages;Parental status;Household incomes	stair|step	0.01	0.01				0.01							None	Disabled	Standard	Audience segments																																																																																			Paused	Enabled			
stair|step concrete schaumburg illinois																			stair|step																												concrete stair contractors near me	Phrase	0	0	0																																																																			Paused	Enabled	Enabled	Approved	
stair|step concrete schaumburg illinois																			stair|step																												concrete stair contractors near me	Exact	0	0	0																																																																			Paused	Enabled	Enabled	Approved	
stair|step concrete schaumburg illinois																			stair|step																												concrete steps contractors near me	Phrase	0	0	0																																																																			Paused	Enabled	Enabled	Approved	
stair|step concrete schaumburg illinois																			stair|step																												concrete steps contractors near me	Exact	0	0	0																																																																			Paused	Enabled	Enabled	Approved	
stair|step concrete schaumburg illinois																			stair|step																																					https://www.concreteschaumburg.com/concrete-stair/contractors									Responsive search ad	Stair Contractor Near You	 -	Steps Contractor Near You	 -	Meet Your Concrete Partner	 -	Stop Concrete Mishaps	 -	Smooth Sailing For Concrete	 -	Carefree Concrete Today	 -	Get Your Concrete Quote Today	 -	Conquer Your Concrete Woes	 -	Your Local Concrete Partner	 -	Reliable & Friendly	 -	Personalised Estimates	 -	Attention To Concrete Detail	 -	Right First Time Every Time	 -	52 Five Star Reviews	 -		 -	Fully Insured. Friendly Service. Based in Schaumburg, IL. Neat concrete. Call Now.	 -	Free Estimate. Top Concrete Company. Appointments Fill Fast. Book A Slot Today.	 -	Concreting For Schaumburg Homes. Five Star Reviews. Book Your Appointment Today.	 -	Friendliest Concrete Company Schaumburg. Fully Insured. Call Us.	 -	concrete-stair	contractors													Paused	Enabled	Enabled	Under review	
stair|step concrete schaumburg illinois																		Audience segments;Genders;Ages;Parental status;Household incomes	stair|step || precast	0.01	0.01				0.01							None	Disabled	Standard	Audience segments																																																																																			Paused	Enabled			
stair|step concrete schaumburg illinois																			stair|step || precast																												precast concrete steps near me	Phrase	0	0	0																																																																			Paused	Enabled	Enabled	Approved	
stair|step concrete schaumburg illinois																			stair|step || precast																												precast concrete steps near me	Exact	0	0	0																																																																			Paused	Enabled	Enabled	Approved	
stair|step concrete schaumburg illinois																			stair|step || precast																																					https://www.concreteschaumburg.com/precast/concrete-steps									Responsive search ad	Precast Steps Near You	 -	Concrete Precast	 -	#1 Concrete Precast	 -	Precast Pros Schaumburg	 -	Meet Your Concrete Partner	 -	Stop Concrete Mishaps	 -	Smooth Sailing For Concrete	 -	Carefree Concrete Today	 -	Get Your Concrete Quote Today	 -	Conquer Your Concrete Woes	 -	Your Local Concrete Partner	 -	Reliable & Friendly	 -	Personalised Estimates	 -	Attention To Concrete Detail	 -	Right First Time Every Time	 -	Fully Insured. Friendly Service. Based in Schaumburg, IL. Neat concrete. Call Now.	 -	Free Estimate. Top Concrete Company. Appointments Fill Fast. Book A Slot Today.	 -	Concreting For Schaumburg Homes. Five Star Reviews. Book Your Appointment Today.	 -	Friendliest Concrete Company Schaumburg. Fully Insured. Call Us.	 -	precast	concrete-steps													Paused	Enabled	Enabled	Under review	
stair|step concrete schaumburg illinois																																								1016834	Schaumburg, Illinois, United States																																																																													Paused		Enabled		
stair|step concrete schaumburg illinois												[]	[]	[]																																												Mobile	2244772663	US	Enabled	Calls from ads	Main call feed	All																																																										
stair|step concrete schaumburg illinois												[]	[]	[]																																										https://www.concreteschaumburg.com/concrete-company/nearby																																																		Serving Schaumburg	Schaumburg's #1 Concrete Company	Also serving Streamwood and Barlett	[]													
stair|step concrete schaumburg illinois												[]	[]	[]																																										https://www.concreteschaumburg.com/concrete/restoration																																																		Call For Instant Quote	Get An Instant Price Today	All Work Guaranteed	[]													
stair|step concrete schaumburg illinois												[]	[]	[]																																										https://www.concreteschaumburg.com/best-concrete/company																																																		5 Star Customer Reviews	Fabulous Five Star Reviews	Excellent Customer Service	[]													
stair|step concrete schaumburg illinois												[]	[]	[]																																										https://www.concreteschaumburg.com/experienced/concrete-company																																																		10 Years Experience	Many Years Of Happy Customers	Fully Trained Concrete Techs	[]													
stair|step concrete schaumburg illinois																																																																																																													[]	Neighborhoods	"Roselle
Barlett
Schnells Corner
Streamwood
South Barrington
Medinah
Arlington Heights
Rolling Meadows"											
stair|step concrete schaumburg illinois																																																																																																													[]	Service catalog	"Stamped Concrete
Concrete Resurfacing
Concrete Slab Removal
Concrete Installation
Concrete Sealing
Concrete Staining
Decorative Concrete
Precast Concrete
Concrete Coating
Concrete Edging"											
stair|step concrete schaumburg illinois																																																																																																													[]			Call Today										
stair|step concrete schaumburg illinois																																																																																																													[]			Fully Insured And Bonded										
stair|step concrete schaumburg illinois																																																																																																													[]			Highly Recommended										
stair|step concrete schaumburg illinois																																																																																																													[]			Professional Results										
stamp concrete schaumburg illinois		33	Daily	Account-level	Search	Google search	en	Maximize conversions		Disabled	16.12	2022-07-24	[]	(Monday[09:00-17:00]);(Tuesday[09:00-17:00]);(Wednesday[09:00-17:00]);(Thursday[09:00-17:00]);(Friday[09:00-17:00])	Optimize for clicks	Location of presence	Location of presence	Audience segments				16.12																																																																																																Paused				
stamp concrete schaumburg illinois																		Audience segments;Genders;Ages;Parental status;Household incomes	stamp	0.01	0.01				0.01							None	Disabled	Standard	Audience segments																																																																																			Paused	Enabled			
stamp concrete schaumburg illinois																			stamp																												concrete stamp rental near me	Phrase	0	0	0																																																																			Paused	Enabled	Enabled	Approved	
stamp concrete schaumburg illinois																			stamp																												concrete stamp rental near me	Exact	0	0	0																																																																			Paused	Enabled	Enabled	Approved	
